,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
165,94.66857142857141,-7.6,-6.1,1031.5,SE,0.0,0,0.0
166,100.72571428571426,-12.0,-8.0,1016.6,NW,3.0,0,0.0
167,103.10857142857141,-14.0,-11.0,1016.6,NE,2.0,0,0.0
168,96.31428571428572,-7.3,-6.1,1032.0,NE,1.0,0,7.0
169,100.44285714285715,-12.0,-5.0,1016.6,NW,2.0,0,0.0
170,103.01428571428572,-12.0,-2.0,1016.6,NW,2.0,0,0.0
171,102.84857142857142,-8.0,-0.3,1030.9,NE,1.0,0,1.0
172,107.96571428571427,-13.0,1.0,1016.6,NW,2.0,0,0.0
173,112.86285714285715,-13.0,3.0,1016.6,SE,1.0,0,0.0
174,120.15999999999998,-9.9,3.4,1027.9,SW,3.0,0,1.0
175,118.69714285714285,-11.0,5.0,1016.6,SW,3.0,0,0.0
176,123.8057142857143,-10.0,5.0,1016.6,SW,2.0,0,0.0
177,127.88823529411766,-11.0,2.2,1027.8,SW,1.0,0,1.0
178,122.26857142857143,-10.0,0.0,1016.6,SE,1.0,0,0.0
179,118.86176470588236,-10.0,-3.0,1016.6,NE,2.0,0,0.0
180,114.2,-10.5,-1.1,1028.2,SE,0.0,0,1.0
181,125.79999999999998,-12.0,-5.0,1016.6,SE,1.0,0,0.0
182,144.98787878787883,-12.0,-5.0,1016.6,NW,2.0,0,0.0
183,151.13939393939398,-10.1,-3.5,1028.6,SW,1.0,0,0.0
184,154.56249999999997,-12.0,-6.0,1016.6,NW,3.0,0,0.0
185,164.58125000000004,-11.0,-4.0,1016.6,NW,3.0,0,0.0
186,175.09032258064514,-9.3,-3.3,1029.2,NE,2.0,0,1.0
187,181.35882352941172,-12.0,-7.0,1016.6,NW,3.0,0,0.0
188,210.33235294117648,-11.0,-4.0,1016.6,NW,4.0,0,0.0
189,228.27352941176468,-16.7,999.9,1028.7,NW,5.0,0,0.0
190,241.87941176470585,-14.0,-7.0,1016.6,NE,2.0,0,0.0
191,236.10882352941172,-13.0,-4.0,1016.6,NW,4.0,0,10.0
192,234.87941176470596,-17.4,-0.7,1030.3,NE,2.0,0,0.0
193,229.3,-13.0,-1.0,1016.6,NW,5.0,0,10.0
194,205.05,-16.0,2.0,1016.6,NE,3.0,0,10.0
195,175.5705882352941,-18.6,4.3,1031.4,NE,4.0,0,21.0
196,132.61764705882354,-18.0,5.0,1016.6,NW,9.0,0,10.0
197,79.1676470588235,-18.0,6.0,1016.6,NW,7.0,0,10.0
198,53.485294117647065,-17.5,6.5,1028.5,NW,2.0,0,24.0
199,40.364705882352936,-18.0,7.0,1016.6,NW,6.0,0,10.0
200,33.30571428571429,-17.0,7.0,1016.6,NW,6.0,0,10.0
201,31.50857142857143,-17.5,5.7,1028.0,NE,2.0,0,71.0
202,31.311764705882364,-17.0,7.0,1016.6,NW,3.0,0,10.0
